datetime,v,vw,o,c,h,l,t,n,hourly_vwap,hourly_liquidity,fd
2010-03-17 18:00:00,550.0,1.04305867523229,1.042975,1.043175,1.04369,1.04249,50120140000000.0,550.0,573.668558361643,550.0,458333.333333299
2010-03-18 00:00:00,2487.0,1.04435670058307,1.044225,1.04466,1.04762,1.04239,56042243333333.3,2487.0,2598.56505331707,2487.0,475525.812619497
2010-03-18 06:00:00,3842.66666666667,1.0473509702436,1.04694,1.04724,1.0494,1.04499,60061393333333.3,3842.66666666667,4024.54547540549,3842.66666666667,871352.985638695
2010-03-18 12:00:00,2133.0,1.04374065732416,1.04424833333333,1.043305,1.04869,1.04009,54986700000000.0,2133.0,2228.34862063286,2133.0,248023.255813955
2010-03-18 18:00:00,631.0,1.04212769157011,1.04226833333333,1.04179833333333,1.04319,1.03889,52026800000000.0,631.0,657.494663729303,631.0,146744.186046513
2010-03-19 00:00:00,2095.16666666667,1.0385310228647,1.03864666666667,1.03827333333333,1.04045,1.03576,56257571666666.7,2095.16666666667,2174.65013356233,2095.16666666667,446730.63255152
2010-03-19 06:00:00,4225.0,1.04613238972872,1.04536,1.0467,1.05322,1.03609,52874551666666.7,4225.0,4421.39758946253,4225.0,246643.315820197
2010-03-19 12:00:00,1259.0,1.04380459564013,1.04393,1.04353,1.04689,1.04159,37435686666666.7,1259.0,1578.04050728475,1259.0,237547.169811317
2010-03-19 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-20 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-20 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-20 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-20 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-21 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-21 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-21 12:00:00,45.5,1.04342368421053,1.04309,1.04279,1.04429,1.04149,8038203333333.33,45.5,284.854665789474,45.5,16250.0000000005
2010-03-21 18:00:00,548.0,1.04276815812586,1.043,1.043045,1.04359,1.04189,56268095000000.0,548.0,571.441914926877,548.0,322352.941176464
2010-03-22 00:00:00,1964.5,1.04340104404372,1.04354833333333,1.04336833333333,1.04535,1.04144,53096018333333.3,1964.5,2048.98070845593,1964.5,502429.667519171
2010-03-22 06:00:00,5705.16666666667,1.0401991091784,1.040495,1.03982833333333,1.04322,1.03653,70443330000000.0,5705.16666666667,5932.586749607,5705.16666666667,852790.234180358
2010-03-22 12:00:00,2270.16666666667,1.03748077118644,1.03731333333333,1.03740166666667,1.03899,1.03529,72559911666666.7,2270.16666666667,2354.24881649906,2270.16666666667,613558.558558552
2010-03-22 18:00:00,706.5,1.03937351863866,1.03935,1.03954333333333,1.04019,1.03799,67907090000000.0,706.5,734.385061754232,706.5,321136.363636367
2010-03-23 00:00:00,2670.66666666667,1.04020264733287,1.03991166666667,1.03999666666667,1.04222,1.03791,73408613333333.3,2670.66666666667,2778.40850052644,2670.66666666667,619644.23820575
2010-03-23 06:00:00,5317.83333333333,1.03861209039548,1.03899166666667,1.03855666666667,1.04092,1.03579,75948526666666.7,5317.83333333333,5522.58556943974,5317.83333333333,1036614.68486028
2010-03-23 12:00:00,2555.33333333333,1.03862649616858,1.03863,1.03899666666667,1.04114,1.03625,73622671666666.7,2555.33333333333,2652.60498962835,2555.33333333333,522563.053851391
2010-03-23 18:00:00,959.333333333333,1.04000987828108,1.039885,1.03996833333333,1.0415,1.03849,69604231666666.7,959.333333333333,997.638184547811,959.333333333333,318715.393133979
2010-03-24 00:00:00,3982.5,1.04381224710788,1.04315333333333,1.04419666666667,1.04891,1.04039,75106151666666.7,3982.5,4162.74293991996,3982.5,467429.577464784
2010-03-24 06:00:00,7018.5,1.04486722222222,1.045245,1.04419166666667,1.04909,1.04008,76165265000000.0,7018.5,7332.13920444444,7018.5,778967.813540495
2010-03-24 12:00:00,3282.16666666667,1.04483368479222,1.04398666666667,1.04507333333333,1.04795,1.04059,74050805000000.0,3282.16666666667,3426.41476159593,3282.16666666667,445946.557971013
2010-03-24 18:00:00,662.333333333333,1.0462422242645,1.04622333333333,1.04634333333333,1.04699,1.04489,70032105000000.0,662.333333333333,692.962801441876,662.333333333333,315396.825396827
2010-03-25 00:00:00,3010.16666666667,1.04721538520801,1.04706833333333,1.04743666666667,1.04912,1.04569,71091228333333.3,3010.16666666667,3153.50925289462,3010.16666666667,877599.611273069
2010-03-25 06:00:00,6100.16666666667,1.04800194444444,1.04773333333333,1.04782666666667,1.05105,1.04592,76170465000000.0,6100.16666666667,6393.32704361111,6100.16666666667,1189116.30929173
2010-03-25 12:00:00,4219.83333333333,1.0489157281317,1.04894,1.04879666666667,1.05169,1.04653,73421086666666.7,4219.83333333333,4428.85340319323,4219.83333333333,817797.157622731
2010-03-25 18:00:00,822.166666666667,1.04718300512553,1.04704833333333,1.04712166666667,1.04819,1.04609,67286200000000.0,822.166666666667,860.893283875777,822.166666666667,391507.936507938
2010-03-26 00:00:00,3360.83333333333,1.0465145478279,1.047185,1.04617,1.04943,1.04099,74693171666666.7,3360.83333333333,3511.57332324979,3360.83333333333,398203.001579779
2010-03-26 06:00:00,6669.0,1.03868166666667,1.03925333333333,1.038375,1.04269,1.03289,76175621666666.7,6669.0,6923.48026166667,6669.0,680510.204081646
2010-03-26 12:00:00,2450.83333333333,1.03645066666667,1.036366,1.036538,1.03826,1.03429,51207716666666.7,2450.83333333333,3047.09697066667,2450.83333333333,617338.371116704
2010-03-26 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-27 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-27 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-27 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-27 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-28 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-28 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-03-28 12:00:00,73.1666666666667,1.0323,1.03219,1.03279,1.03369,1.03099,6983900000000.0,73.1666666666667,453.1797,73.1666666666667,27098.7654320995
2010-03-28 18:00:00,1118.33333333333,1.03817752596337,1.03726,1.03891333333333,1.04299,1.03289,74072253333333.3,1118.33333333333,1161.30055146634,1118.33333333333,110726.072607261
2010-03-29 00:00:00,2988.66666666667,1.03943451236503,1.03972333333333,1.03933166666667,1.04259,1.03607,74708428333333.3,2988.66666666667,3103.80493215778,2988.66666666667,458384.45807772
2010-03-29 06:00:00,4662.66666666667,1.04085822639976,1.04086666666667,1.04103166666667,1.0445,1.03829,73016548333333.3,4662.66666666667,4854.46456974528,4662.66666666667,750831.991411696
2010-03-29 12:00:00,1553.83333333333,1.04116474776501,1.04116166666667,1.04091833333333,1.04419,1.03885,72171195000000.0,1553.83333333333,1618.63409986271,1553.83333333333,290980.024968794
2010-03-29 18:00:00,527.333333333333,1.03993834762721,1.039885,1.03992166666667,1.04104,1.03889,70267625000000.0,527.333333333333,548.350312854575,527.333333333333,245271.317829472
2010-03-30 00:00:00,3330.33333333333,1.04059924858757,1.039935,1.04033166666667,1.04379,1.03818,73866920000000.0,3330.33333333333,3466.44148178908,3330.33333333333,593642.305407023
2010-03-30 06:00:00,4749.83333333333,1.04431083333333,1.044215,1.04491666666667,1.04851,1.04059,76196376666666.7,4749.83333333333,4964.53847777778,4749.83333333333,599726.43097642
2010-03-30 12:00:00,1357.0,1.04583138341544,1.04601333333333,1.04562333333333,1.04719,1.04349,71964431666666.7,1357.0,1419.54752879995,1357.0,366756.756756753
2010-03-30 18:00:00,1055.33333333333,1.04687141762452,1.04661,1.04712333333333,1.04914,1.04479,73235653333333.3,1055.33333333333,1104.8974452682,1055.33333333333,242605.363984682
2010-03-31 00:00:00,3149.0,1.04658986590038,1.04715333333333,1.04646666666667,1.04847,1.0436,75776915000000.0,3149.0,3295.09716205939,3149.0,646611.909650933
2010-03-31 06:00:00,5501.0,1.0402805651341,1.04119333333333,1.03989666666667,1.04419,1.03221,75778233333333.3,5501.0,5719.64535415709,5501.0,459181.969949921
2010-03-31 12:00:00,1427.5,1.0365733719716,1.03649666666667,1.03660666666667,1.03819,1.03319,74721136666666.7,1427.5,1479.10424896512,1427.5,285500.000000006
2010-03-31 18:00:00,986.666666666667,1.0377266819274,1.03768333333333,1.03809166666667,1.03945,1.0356,74722411666666.7,986.666666666667,1023.83359694948,986.666666666667,256277.056277062
2010-04-01 00:00:00,2966.16666666667,1.03979712301587,1.03966,1.03949166666667,1.04327,1.03789,75358716666666.7,2966.16666666667,3084.56420265873,2966.16666666667,551332.094175966
2010-04-01 06:00:00,5180.16666666667,1.03844861111111,1.038125,1.03971333333333,1.05289,1.03479,76206731666666.7,5180.16666666667,5377.55561444445,5180.16666666667,286197.053406998
2010-04-01 12:00:00,1620.33333333333,1.04561775109856,1.04583833333333,1.045275,1.04843,1.04399,74726191666666.7,1620.33333333333,1694.82690049749,1620.33333333333,364939.93993994
2010-04-01 18:00:00,557.5,1.04421572454474,1.04432,1.04416,1.04559,1.04249,71763801666666.7,557.5,582.052438517491,557.5,179838.709677413
2010-04-02 00:00:00,695.333333333333,1.04387913354194,1.04388166666667,1.04388166666667,1.04571,1.04269,72188410000000.0,695.333333333333,725.813969651739,695.333333333333,230242.825607062
2010-04-02 06:00:00,2227.16666666667,1.04823758962781,1.04770833333333,1.048975,1.05343,1.04159,74941735000000.0,2227.16666666667,2335.01681905241,2227.16666666667,188105.292792792
2010-04-02 12:00:00,190.333333333333,1.05061042087542,1.0505175,1.050245,1.05209,1.04893,37894765000000.0,190.333333333333,300.049120517677,190.333333333333,60232.0675105475
2010-04-02 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-03 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-03 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-03 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-03 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-04 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-04 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-04 12:00:00,22.5,1.05126875,1.05099,1.05139,1.05199,1.05089,3387733333333.33,22.5,141.92128125,22.5,20454.5454545477
2010-04-04 18:00:00,486.833333333333,1.05130337173826,1.05111666666667,1.05105833333333,1.05318,1.05029,66908491666666.7,486.833333333333,511.858843526381,486.833333333333,168454.440599766
2010-04-05 00:00:00,1003.33333333333,1.05384114390545,1.05357333333333,1.054545,1.05726,1.05049,75590981666666.7,1003.33333333333,1057.91066756185,1003.33333333333,148202.855736087
2010-04-05 06:00:00,2518.0,1.05633545019157,1.05614,1.056435,1.05925,1.05334,75380521666666.7,2518.0,2659.31794900383,2518.0,426057.529610823
2010-04-05 12:00:00,1646.83333333333,1.05904108721516,1.05815166666667,1.059,1.06059,1.05558,73052555000000.0,1646.83333333333,1743.92228934009,1646.83333333333,328709.248170329
2010-04-05 18:00:00,1139.16666666667,1.0607587271321,1.06073666666667,1.06104833333333,1.06249,1.05887,74536068333333.3,1139.16666666667,1208.43254617803,1139.16666666667,314686.924493558
2010-04-06 00:00:00,3092.0,1.06484472222222,1.06458833333333,1.06551166666667,1.06746,1.06059,76231355000000.0,3092.0,3293.72679083333,3092.0,450072.780203775
2010-04-06 06:00:00,4465.33333333333,1.06859638888889,1.06841,1.06887166666667,1.07109,1.06609,76232648333333.3,4465.33333333333,4772.526485,4465.33333333333,893066.666666646
2010-04-06 12:00:00,1878.33333333333,1.06823792420923,1.068335,1.067855,1.07109,1.06579,73692833333333.3,1878.33333333333,2007.71542643635,1878.33333333333,354402.515723265
2010-04-06 18:00:00,967.166666666667,1.06847472556745,1.06822833333333,1.06872833333333,1.07054,1.0665,74329381666666.7,967.166666666667,1033.47374505154,967.166666666667,239397.689768974
2010-04-07 00:00:00,2921.33333333333,1.0704709502924,1.07053333333333,1.07070833333333,1.07207,1.0688,75601255000000.0,2921.33333333333,3127.49412577485,2921.33333333333,893374.108052978
2010-04-07 06:00:00,5223.5,1.07068656308851,1.071125,1.07072,1.07296,1.0671,76026073333333.3,5223.5,5592.27658683145,5223.5,891382.252559731
2010-04-07 12:00:00,2274.33333333333,1.06829408429119,1.06834833333333,1.06827833333333,1.0708,1.06589,73697811666666.7,2274.33333333333,2430.12334963985,2274.33333333333,463204.344874409
2010-04-07 18:00:00,1031.33333333333,1.06865299441132,1.06847333333333,1.068575,1.07029,1.06744,74334413333333.3,1031.33333333333,1102.30475956565,1031.33333333333,361871.345029237
2010-04-08 00:00:00,3267.5,1.06819320175439,1.06833,1.06816333333333,1.06968,1.06669,75606403333333.3,3267.5,3490.36471331871,3267.5,1092809.36454848
2010-04-08 06:00:00,5319.66666666667,1.06637777777778,1.06638833333333,1.066815,1.07025,1.06351,76243043333333.3,5319.66666666667,5671.15131583333,5319.66666666667,789268.051434227
2010-04-08 12:00:00,1685.66666666667,1.0700463442167,1.07002666666667,1.07014,1.07112,1.06907,72432081666666.7,1685.66666666667,1803.66742281052,1685.66666666667,822276.422764185
2010-04-08 18:00:00,1045.5,1.07058119144913,1.070725,1.07080333333333,1.07159,1.06958,73704111666666.7,1045.5,1119.2641372437,1045.5,520149.253731326
2010-04-09 00:00:00,2939.0,1.07002190251572,1.07005666666667,1.07001,1.07199,1.06796,74764345000000.0,2939.0,3143.21589094864,2939.0,729280.397022337
2010-04-09 06:00:00,6668.83333333333,1.06571222222222,1.06708,1.06549166666667,1.07079,1.05987,76248198333333.3,6668.83333333333,7103.14243361111,6668.83333333333,610699.023199033
2010-04-09 12:00:00,1279.0,1.06091033333333,1.060934,1.060932,1.0634,1.05901,51891913333333.3,1279.0,1628.218045,1279.0,291343.963553538
2010-04-09 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-10 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-10 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-10 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-10 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-11 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-11 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2010-04-11 12:00:00,217.666666666667,1.05232888888889,1.05136,1.05083,1.05422,1.04846,9532575000000.0,217.666666666667,1374.34152888889,217.666666666667,37789.3518518519
2010-04-11 18:00:00,1698.0,1.0536377443255,1.05346166666667,1.053815,1.05608,1.05011,75413825000000.0,1698.0,1789.03826418649,1698.0,284422.110552773
2010-04-12 00:00:00,4161.16666666667,1.05222666666667,1.05218666666667,1.05220333333333,1.05463,1.04867,76262465000000.0,4161.16666666667,4378.9398025,4161.16666666667,698182.326621928
2010-04-12 06:00:00,4867.66666666667,1.05261111111111,1.05253833333333,1.05331,1.0579,1.04889,76263755000000.0,4867.66666666667,5123.25783027778,4867.66666666667,540251.572327046
2010-04-12 12:00:00,1521.33333333333,1.05640451529465,1.05665,1.05641666666667,1.05864,1.05201,73299171666666.7,1521.33333333333,1607.58189362573,1521.33333333333,229462.041226742
2010-04-12 18:00:00,1064.5,1.05503292541028,1.05532,1.05478166666667,1.05659,1.05274,75207125000000.0,1064.5,1122.92946934793,1064.5,276493.506493513
2010-04-13 00:00:00,3202.83333333333,1.0531654706368,1.05296,1.05311166666667,1.05419,1.05079,73301701666666.7,3202.83333333333,3372.92061909212,3202.83333333333,942009.803921549
2010-04-13 06:00:00,4499.83333333333,1.05328384057971,1.05317,1.05291666666667,1.05539,1.05037,73302938333333.3,4499.83333333333,4738.64057222222,4499.83333333333,896381.142098269
