datetime,v,vw,o,c,h,l,t,n,hourly_vwap,hourly_liquidity,fd
2010-12-30 06:00:00,714.5,8.29413768796993,8.2984,8.3036,8.3075,8.2799,30402170000000.0,714.5,5926.76839548872,714.5,25887.6811594206
2010-12-30 12:00:00,253.0,8.31104527376298,8.31006666666667,8.31336666666667,8.322,8.2931,35361713333333.3,253.0,2102.14559159562,253.0,8754.32525951607
2010-12-30 18:00:00,266.833333333333,8.30878343089765,8.31198333333333,8.3062,8.3284,8.2754,31912325000000.0,266.833333333333,2216.58166547619,266.833333333333,5034.59119496848
2010-12-31 00:00:00,589.333333333333,8.2953522834407,8.29358333333333,8.29726666666667,8.3146,8.2767,38166046666666.7,589.333333333333,4889.03096971125,589.333333333333,15549.6921723833
2010-12-31 06:00:00,567.666666666667,8.31781834579708,8.31908333333333,8.32106666666667,8.3556,8.2925,40107380000000.0,567.666666666667,4721.96998501275,567.666666666667,8996.30216587422
2010-12-31 12:00:00,157.333333333333,8.3150968968457,8.3157,8.3152,8.3282,8.3018,23935361666666.7,157.333333333333,1570.12773511509,157.333333333333,5959.59595959581
2010-12-31 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-02 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-02 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-02 12:00:00,32.5,8.315490625,8.3091,8.3177,8.3205,8.3085,6901280000000.0,32.5,1621.520671875,32.5,2708.33333333363
2011-01-02 18:00:00,435.5,8.31070661419063,8.31208333333333,8.31076666666667,8.3375,8.2971,54995083333333.3,435.5,3619.30504917319,435.5,10779.702970297
2011-01-03 00:00:00,684.166666666667,8.3012818988439,8.29933333333333,8.29793333333333,8.3149,8.2815,57152716666666.7,684.166666666667,5677.43823678324,684.166666666667,20484.0319361275
