datetime,v,vw,o,c,h,l,t,n,hourly_vwap,hourly_liquidity,fd
2010-12-30 18:00:00,190.5,1.24718571428571,1.247205,1.24718,1.24732,1.24687,10996875000000.0,190.5,237.586957142857,190.5,423333.333333276
2010-12-31 00:00:00,1209.33333333333,1.24986128933445,1.249905,1.25024666666667,1.25414,1.24645,22425253333333.3,1209.33333333333,1512.0184876817,1209.33333333333,157260.51148678
2010-12-31 06:00:00,759.833333333333,1.25042652421652,1.25034,1.24995833333333,1.2549,1.24747,18544265000000.0,759.833333333333,950.230728547009,759.833333333333,102265.589950653
2010-12-31 12:00:00,1.66666666666667,1.251,1.2512,1.25101,1.2512,1.25099,215633333333.333,1.66666666666667,12.51,1.66666666666667,7936.50793650629
2010-12-31 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-01 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-02 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-02 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-02 12:00:00,18.3333333333333,1.2472,1.2468,1.24648,1.24796,1.24618,2587980000000.0,18.3333333333333,137.192,18.3333333333333,10299.6254681654
2011-01-02 18:00:00,1187.5,1.24431510668498,1.24474333333333,1.24415666666667,1.24661,1.24275,36016393333333.3,1187.5,1478.02379132372,1187.5,307642.487046634
2011-01-03 00:00:00,1676.5,1.24445384940665,1.244525,1.24502833333333,1.24701,1.24149,41840095000000.0,1676.5,2086.73501218818,1676.5,303713.768115944
2011-01-03 06:00:00,2793.33333333333,1.24691983061169,1.247185,1.24740166666667,1.24942,1.24428,37095950000000.0,2793.33333333333,3483.32534133895,2793.33333333333,543450.064850851
2011-01-03 12:00:00,1102.16666666667,1.24738380803438,1.247285,1.247195,1.24879,1.24622,36018176666666.7,1102.16666666667,1374.99769724057,1102.16666666667,428858.625162134
2011-01-03 18:00:00,1468.16666666667,1.24782939958171,1.24795333333333,1.24824,1.25007,1.24535,36018811666666.7,1468.16666666667,1832.27369212372,1468.16666666667,311052.259887002
2011-01-04 00:00:00,3942.33333333333,1.25532021670069,1.25418833333333,1.25681333333333,1.26548,1.2492,39470346666666.7,3942.33333333333,4952.70750830634,3942.33333333333,242158.067158069
2011-01-04 06:00:00,4944.5,1.26467392961712,1.264645,1.26421166666667,1.26819,1.26062,38608276666666.7,4944.5,6251.89094322185,4944.5,653170.409511241
2011-01-04 12:00:00,2006.33333333333,1.26202389364946,1.262085,1.26197333333333,1.26535,1.25917,37746138333333.3,2006.33333333333,2532.2310000934,2006.33333333333,324649.406688238
2011-01-04 18:00:00,2463.5,1.26027843660004,1.26036666666667,1.26006333333333,1.26259,1.25809,61473371666666.7,2463.5,3103.86922807694,2463.5,547444.444444424
2011-01-05 00:00:00,7479.0,1.26051,1.26080666666667,1.26067833333333,1.26288,1.25817,77651798333333.3,7479.0,9427.15954833333,7479.0,1587898.08917198
2011-01-05 06:00:00,11824.0,1.26465833333333,1.263175,1.26502166666667,1.27122,1.25686,77653088333333.3,11824.0,14961.0624675,11824.0,823398.328690812
2011-01-05 12:00:00,3945.0,1.27082561291748,1.27064833333333,1.27061,1.27248,1.26949,75065876666666.7,3945.0,5014.36121011482,3945.0,1319397.99331102
2011-01-05 18:00:00,3523.0,1.27107552259887,1.27094333333333,1.27094,1.27223,1.26979,77439955000000.0,3523.0,4478.2877198258,3523.0,1443852.45901639
2011-01-06 00:00:00,7070.0,1.26975638888889,1.269425,1.26958666666667,1.27194,1.26663,77656955000000.0,7070.0,8975.69395027778,7070.0,1331450.09416192
2011-01-06 06:00:00,10942.0,1.26405083333333,1.26577666666667,1.26302,1.2717,1.25218,77658248333333.3,10942.0,13814.8741169444,10942.0,560553.278688525
2011-01-06 12:00:00,3405.0,1.2554863653484,1.25539,1.25549333333333,1.25716,1.2539,77228135000000.0,3405.0,4275.31706725989,3405.0,1044478.52760735
2011-01-06 18:00:00,4134.83333333333,1.25479993295019,1.25442333333333,1.25435,1.25625,1.25299,77229418333333.3,4134.83333333333,5188.45236568008,4134.83333333333,1268353.78323107
2011-01-07 00:00:00,6544.66666666667,1.25249472222222,1.25285666666667,1.25194333333333,1.2552,1.249,77662155000000.0,6544.66666666667,8194.27135833333,6544.66666666667,1055591.39784947
2011-01-07 06:00:00,12768.0,1.25117090038314,1.251175,1.25116,1.25608,1.2481,77231980000000.0,12768.0,15980.7548098084,12768.0,1599999.99999998
2011-01-07 12:00:00,3188.33333333333,1.24834533333333,1.248616,1.248442,1.25008,1.24474,51992068333333.3,3188.33333333333,4774.59517666667,3188.33333333333,597066.167290873
2011-01-07 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-08 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-08 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-08 12:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-08 18:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-09 00:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-09 06:00:00,0.0,,,,,,0.0,0.0,,0.0,
2011-01-09 12:00:00,139.833333333333,1.24825423728814,1.247,1.24841,1.24877,1.24674,12730161666666.7,139.833333333333,1047.28530508475,139.833333333333,68883.4154351404
